style,country,year,count
Hi NRG,Italy,1984,17
Hi NRG,Italy,1985,35
Hi NRG,Italy,1986,26
Hi NRG,Italy,1987,24
Hi NRG,Italy,1988,80
Hi NRG,Italy,1989,226
Hi NRG,Italy,1990,264
Hi NRG,Germany,1970,0
Hi NRG,Germany,1971,0
Hi NRG,Germany,1972,0
Hi NRG,Germany,1973,0
Hi NRG,Germany,1974,0
Hi NRG,Germany,1975,0
Hi NRG,Germany,1976,0
Hi NRG,Germany,1977,3
Hi NRG,Germany,1978,0
Hi NRG,Germany,1979,5
Hi NRG,Germany,1980,6
Hi NRG,Germany,1981,11
Hi NRG,Germany,1982,30
Hi NRG,Germany,1983,73
Hi NRG,Germany,1984,110
Hi NRG,Germany,1985,133
Hi NRG,Germany,1986,101
Hi NRG,Germany,1987,86
Hi NRG,Germany,1988,91
Hi NRG,Germany,1989,63
Hi NRG,Germany,1990,41
Hi NRG,Spain,1970,0
Hi NRG,Spain,1971,0
Hi NRG,Spain,1972,0
Hi NRG,Spain,1973,0
Hi NRG,Spain,1974,0
Hi NRG,Spain,1975,0
Hi NRG,Spain,1976,0
Hi NRG,Spain,1977,0
Hi NRG,Spain,1978,1
Hi NRG,Spain,1979,6
Hi NRG,Spain,1980,1
Hi NRG,Spain,1981,2
Hi NRG,Spain,1982,27
Hi NRG,Spain,1983,50
Hi NRG,Spain,1984,67
Hi NRG,Spain,1985,43
Hi NRG,Spain,1986,43
Hi NRG,Spain,1987,63
Hi NRG,Spain,1988,45
Hi NRG,Spain,1989,24
Hi NRG,Spain,1990,12
Euro-Disco,ALL,1970,0
Euro-Disco,ALL,1971,0
Euro-Disco,ALL,1972,0
Euro-Disco,ALL,1973,0
Euro-Disco,ALL,1974,1
Euro-Disco,ALL,1975,4
Euro-Disco,ALL,1976,17
Euro-Disco,ALL,1977,64
Euro-Disco,ALL,1978,76
Euro-Disco,ALL,1979,85
Euro-Disco,ALL,1980,77
Euro-Disco,ALL,1981,72
Euro-Disco,ALL,1982,69
Euro-Disco,ALL,1983,164
Euro-Disco,ALL,1984,345
Euro-Disco,ALL,1985,1075
Euro-Disco,ALL,1986,1537
Euro-Disco,ALL,1987,1364
Euro-Disco,ALL,1988,1143
Euro-Disco,ALL,1989,842
Euro-Disco,ALL,1990,619
Euro-Disco,US,1970,0
Euro-Disco,US,1971,0
Euro-Disco,US,1972,0
Euro-Disco,US,1973,0
Euro-Disco,US,1974,0
Euro-Disco,US,1975,1
Euro-Disco,US,1976,0
Euro-Disco,US,1977,1
Euro-Disco,US,1978,2
Euro-Disco,US,1979,1
Euro-Disco,US,1980,0
Euro-Disco,US,1981,2
Euro-Disco,US,1982,5
Euro-Disco,US,1983,4
Euro-Disco,US,1984,11
Euro-Disco,US,1985,17
